id,text,option_a,option_b,option_c,option_d,correct,book,part,topic,type
1,Which standard is modified by the machine-room-less elevator chapter?,ASME A17.2-2014,ASME A17.1S-2005,ASME B20.1-2015,ANSI A10.4-2016,B,NYC Appendix K4,K401.1,MRL elevator standard,multiple_choice
2,What kind of space is intended for full bodily entry and contains the motor controller?,Machinery space,Machine room,Control space,Hoistway pit,C,NYC Appendix K4,1.3,control space definition,multiple_choice
3,Which item is not permitted inside an elevator control space?,Electrical equipment used directly with the elevator,Mechanical equipment used directly with the elevator,Motor controller,Electric driving machine,D,NYC Appendix K4,1.3,control space equipment,multiple_choice
4,What controller equipment is prohibited in a machinery space located in a hoistway?,Motion controller,Car operating panel,Hall lantern,Pit lighting outlet,A,NYC Appendix K4,1.3,machinery space restrictions,multiple_choice
5,Hoistways must have a means to prevent accumulation of smoke and hot gases when required by what?,Elevator maintenance company,New York City Building Code,Manufacturer data plate,Building tenant rules,B,NYC Appendix K4,2.1.4,smoke and hot gases,multiple_choice
6,"On hoistway sides not used for loading and unloading, which recesses are permitted?",Tenant storage recesses,Decorative wall recesses,Recesses needed for elevator equipment,Unprotected convenience recesses,C,NYC Appendix K4,2.1.6.2,hoistway recesses,multiple_choice
7,"When certain hoistway projections make an angle less than the required threshold, how far may they project before beveling or protection is required?",25 mm (1 in),38 mm (1.5 in),75 mm (3 in),50 mm (2 in),D,NYC Appendix K4,2.1.6.2,hoistway projections,multiple_choice
8,What bevel angle is required for certain building-construction projections into the hoistway?,Not less than 75 degrees with the horizontal,Not less than 45 degrees with the horizontal,Not less than 60 degrees with the horizontal,Exactly 90 degrees with the horizontal,A,NYC Appendix K4,2.1.6.2,hoistway projection bevels,multiple_choice
9,Which hoistway component is not required to have bevels under the modified rule?,Machine beams above the controller,Separator beams between adjacent elevators,Landing sill supports,Top-of-car guard rails,B,NYC Appendix K4,2.1.6.2,separator beams,multiple_choice
10,"Where enclosure wall setbacks exceed the allowed projection amount, what bevel angle is required at the top of the setback?",Not less than 75 degrees with the horizontal,Not less than 60 degrees with the horizontal,Not less than 85 degrees with the horizontal,Exactly 45 degrees with the horizontal,C,NYC Appendix K4,2.1.6.2,hoistway setbacks,multiple_choice
11,"If projections and setbacks are covered instead of beveled, what is the maximum permitted opening in the covering material?",50 mm (2 in),38 mm (1.5 in),13 mm (0.5 in),25 mm (1 in),D,NYC Appendix K4,2.1.6.2,projection covering material,multiple_choice
12,Elevators with sprinklers in the shaftway must be provided with what?,A drain or sump pump,A smoke detector at every landing,A governor access ladder,A red telephone in the machine room,A,NYC Appendix K4,2.2.2.5,shaftway sprinkler drainage,multiple_choice
13,Access to pits must be provided by the lowest hoistway door or by what other means?,A roof hatch,A separate pit access door,A car-top access panel,A machine-room trap door,B,NYC Appendix K4,2.2.4.1,pit access,multiple_choice
14,Where must a separate pit access door be located?,At the roof level,At the main lobby level,At the level of the pit floor,At the nearest stair landing,C,NYC Appendix K4,2.2.4.1,pit access door location,multiple_choice
15,What label is required on pit doors?,ELEVATOR EQUIPMENT,ELEVATOR MACHINE ROOM,NO STORAGE,DANGER: ELEVATOR PIT,D,NYC Appendix K4,2.2.4.4,pit door label,multiple_choice
16,What minimum letter height is required for the pit door warning label?,51 mm (2 in),25 mm (1 in),13 mm (0.5 in),75 mm (3 in),A,NYC Appendix K4,2.2.4.4,pit door label height,multiple_choice
17,Where may an elevator control space be located when it affects an unrestricted path of travel?,Only where required working clearances will not impede the path of travel,Only inside the hoistway,Only in the elevator pit,Only inside a tenant dwelling unit,A,NYC Appendix K4,2.7.3.1.1,control space location,multiple_choice
18,"If an elevator control space is in an unrestricted path of travel, the clear path parallel to it must be at least what?",The car width only,The required working clearance plus 1219 mm (48 in),The hoistway width plus 305 mm (12 in),The landing door width only,B,NYC Appendix K4,2.7.3.1.1,path of travel clearance,multiple_choice
19,When must the permanent barricade for a control space be deployed?,Only during annual testing,Only during fire recall,Whenever the doors to the control space are open,Only when passengers are present,C,NYC Appendix K4,2.7.3.1.1,control space barricade,multiple_choice
20,Access doors to elevator equipment spaces must be labeled with what wording?,DANGER: ELEVATOR PIT,NO STORAGE,FIRE COMMAND CENTER,ELEVATOR EQUIPMENT,D,NYC Appendix K4,2.7.3.4.1,equipment space label,multiple_choice
21,"Access doors to machine rooms, control rooms, and control spaces must be provided for what purpose?",Access,Decoration,Sound isolation,Tenant storage,A,NYC Appendix K4,2.7.3.4.2,access doors,multiple_choice
22,Which warning label is required on certain hoistway access doors?,ELEVATOR MACHINE ROOM,DANGER: ELEVATOR HOISTWAY,FIRE RECALL SWITCH,AUTHORIZED TENANTS ONLY,B,NYC Appendix K4,2.7.3.4.6,hoistway access door label,multiple_choice
23,Opening a required hoistway access door must remove power from which equipment?,Car lights and fan only,Hall lanterns only,Hoist machine and brake,Emergency telephone only,C,NYC Appendix K4,2.7.3.4.6,hoistway access door switch,multiple_choice
24,Where may machinery spaces be located?,Only outside the building,Only in the machine room,Only in the pit,Inside or outside the hoistway,D,NYC Appendix K4,2.7.6.2,machinery space location,multiple_choice
25,Where are control spaces permitted?,Only inside the building,Inside the hoistway only,On the car top only,Inside the pit only,A,NYC Appendix K4,2.7.6.2,control space location,multiple_choice
26,What is prohibited for control spaces?,Location inside the building,Location inside the hoistway,Access from an unrestricted area,Working clearances,B,NYC Appendix K4,2.7.6.2,control space prohibition,multiple_choice
27,"If a governor is located inside the hoistway, where must access for inspection and servicing be provided from?",From the pit only,From the car only,From outside the hoistway,From the roof only,C,NYC Appendix K4,2.7.6.3.4,governor access,multiple_choice
28,Means related to access or servicing must be installed in what manner?,Temporarily,By the tenant,With removable tape,Permanently,D,NYC Appendix K4,2.7.6.4,permanent means,multiple_choice
29,"If the car is moved manually, the effort to move it in the direction of load imbalance must not exceed what?",400 N (90 lbf),200 N (45 lbf),800 N (180 lbf),1000 N (225 lbf),A,NYC Appendix K4,2.7.6.4.3,manual car movement,multiple_choice
30,"If a removable manual car movement means is used, where must it be stored?",Inside the hoistway,Outside the hoistway,Inside the elevator car,At the lobby desk,B,NYC Appendix K4,2.7.6.4.3,removable movement means,multiple_choice
31,What marking must be placed on the removable means used for manual car movement?,FIRE RECALL,ELEVATOR EQUIPMENT,Machine Brake Release,NO STORAGE,C,NYC Appendix K4,2.7.6.4.3,machine brake release label,multiple_choice
32,Sprinkler systems may be installed in the hoistway or machinery space if they conform to which standard where applicable?,ASME A90.1,ICC A117.1,ANSI A10.4,NFPA 13,D,NYC Appendix K4,2.8.3.3,sprinkler systems,multiple_choice
33,What minimum height applies to elevator entrances under the modified rule?,2030 mm (80 in),1830 mm (72 in),2134 mm (84 in),2440 mm (96 in),A,NYC Appendix K4,2.11.1.1,entrance height,multiple_choice
34,What minimum width applies to elevator entrances under the modified rule?,760 mm (30 in),915 mm (36 in),1067 mm (42 in),610 mm (24 in),B,NYC Appendix K4,2.11.1.1,entrance width,multiple_choice
35,What minimum clear opening height applies to emergency doors?,1830 mm (72 in),2134 mm (84 in),2030 mm (80 in),2440 mm (96 in),C,NYC Appendix K4,2.11.1.2,emergency door height,multiple_choice
36,What minimum clear opening width applies to emergency doors?,760 mm (30 in),610 mm (24 in),1067 mm (42 in),915 mm (36 in),D,NYC Appendix K4,2.11.1.2,emergency door width,multiple_choice
37,At what type of landing is locking a hoistway door out of service prohibited when emergency in-car operation is effective?,Any landing for an elevator equipped with Phase II operation,A locked janitor closet,Only roof landings,Only basement service landings,A,NYC Appendix K4,2.11.6.2,hoistway door lockout,multiple_choice
38,Which additional condition is listed where hoistway door lockout is not permitted?,Nonadjacent occupied floors,Consecutive vacant floors,Machine-room floors only,Mechanical penthouse floors only,B,NYC Appendix K4,2.11.6.2,vacant floor lockout,multiple_choice
39,What lobby floor condition is listed where hoistway door lockout is not permitted?,Sky lobby only,Cellar service floor only,Main lobby street floor,Roof bulkhead level,C,NYC Appendix K4,2.11.6.2,lobby lockout,multiple_choice
40,What maximum distance defines a zero-clearance vestibule from the elevator hoistway door?,50 mm (2 in),100 mm (4 in),305 mm (12 in),150 mm (6 in),D,NYC Appendix K4,2.11.6.5,zero-clearance vestibule,multiple_choice
41,"For a zero-clearance vestibule, where are locking devices permitted?",Only on the door separating the vestibule from occupied floor space,Only on the hoistway door,Only on the stair door,Only on the elevator car door,A,NYC Appendix K4,2.11.6.5,zero-clearance vestibule locks,multiple_choice
42,"For a non-zero-clearance vestibule, which feature can allow locking devices at the vestibule?",A locked hoistway door,A red telephone near the elevator doors,An unlabeled tenant phone,A removable barricade only,B,NYC Appendix K4,2.11.6.5,vestibule telephone,multiple_choice
43,"In a non-zero-clearance vestibule, locking devices may be allowed if they release upon activation of detection or signaling devices or what else?",Inspection mode,Car-top operation,Power failure,Normal door closing,C,NYC Appendix K4,2.11.6.5,vestibule lock release,multiple_choice
44,Another permitted condition for locking devices at a non-zero-clearance vestibule is the presence of what within the vestibule?,A smoke detector only,A control cabinet,A convenience outlet,At least one exit stair,D,NYC Appendix K4,2.11.6.5,vestibule exit stair,multiple_choice
45,What is the minimum area of any single required or used hoistway-door vision panel?,0.008 m2 (12 in2),0.026 m2 (40 in2),0.093 m2 (1 ft2),0.186 m2 (2 ft2),A,NYC Appendix K4,2.11.7.1.1,vision panel area,multiple_choice
46,What is the maximum total area of one or more vision panels in any hoistway door?,0.008 m2 (12 in2),0.026 m2 (40 in2),0.093 m2 (1 ft2),0.186 m2 (2 ft2),B,NYC Appendix K4,2.11.7.1.1,vision panel total area,multiple_choice
47,Hoistway-door combination mechanical locks and electrical contacts are treated how?,Required on all doors,Required on freight elevators only,Not permitted,Required only at the main lobby,C,NYC Appendix K4,2.12.4.1,door locking devices,multiple_choice
48,Hoistway access switch operation cannot move the car faster than what speed?,0.15 m/s (30 ft/min),0.25 m/s (50 ft/min),0.5 m/s (100 ft/min),0.35 m/s (75 ft/min),D,NYC Appendix K4,2.12.7.3.2,hoistway access speed,multiple_choice
49,Which car door or gate type must not be power opened?,Collapsible car gates,Horizontally sliding car doors,Center-opening car doors,Power-operated hoistway doors,A,NYC Appendix K4,2.13.2.1.2,collapsible car gates,multiple_choice
50,What flame spread rating range applies to certain passenger car enclosure materials in their end-use configuration?,51 to 100,0 to 50,101 to 200,Any listed flame spread rating,B,NYC Appendix K4,2.14.2.1,car enclosure materials,multiple_choice
